"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1622","Login with valid email and password","","2026-09-25","passed","2026-09-25","","","",""
"","1497","DELETE to verify login is not allowed","","2026-09-25","passed","2026-09-25","","","",""
"","1379","Login without the email parameter","","2026-09-25","passed","2026-09-25","","","",""
"","1790","Get all brands list","","2026-09-25","passed","2026-09-25","","","",""
"","1944","Search without the search_product parameter","","2026-09-25","passed","2026-09-25","","","",""
"","1757","Search for a product with a valid term -- @1.2 ","","2026-09-25","passed","2026-09-25","","","",""
"","1292","Search for a product with a valid term -- @1.1 ","","2026-09-25","passed","2026-09-25","","","",""
"","1199","Login with invalid credentials","","2026-09-25","passed","2026-09-25","","","",""
"","433","Get a single user by ID","","2026-09-25","passed","2026-09-25","","","",""
"","1207","PUT to brands list is not allowed","","2026-09-25","passed","2026-09-25","","","",""
"","1417","Get all products list","","2026-09-25","passed","2026-09-25","","","",""
"","1000","Update an existing user","","2026-09-25","passed","2026-09-25","","","",""
"","261","Get a user that does not exist","","2026-09-25","passed","2026-09-25","","","",""
"","1889","POST to products list is not allowed","","2026-09-25","passed","2026-09-25","","","",""
"","1435","Search for a product with a valid term -- @1.3 ","","2026-09-25","passed","2026-09-25","","","",""
"","341","Get all users","","2026-09-25","passed","2026-09-25","","","",""
"","565","Create a new user","","2026-09-25","passed","2026-09-25","","","",""
"","1072","Delete a user","","2026-09-25","passed","2026-09-25","","","",""
